group_id,orig_code,dest_code,route_str,pax,num_legs,dep_hhmm,arr_hhmm,travel_time_min,voos
0,MA,BE,MA->BE,200,1,19:00,21:00,120,V0551
1,MA,BE,MA->BE,150,1,11:00,13:00,120,V0257
2,MA,FO,MA->FO,200,1,10:00,13:00,180,V0194
3,MA,NA,MA->NA,200,1,06:00,09:00,180,V0005
4,MA,RE,MA->RE,200,1,16:00,19:00,180,V0470
5,MA,RE,MA->RE,50,2,11:00,16:00,300,V0257 | V0405
6,MA,RE,MA->RE,50,2,12:00,18:00,360,V0289 | V0518
7,MA,SA,MA->SA,200,1,12:00,15:00,180,V0306
8,MA,BR,MA->BR,200,1,08:00,11:00,180,V0094
9,MA,BR,MA->BR,200,1,11:00,14:00,180,V0239
10,MA,BR,MA->BR,100,1,14:00,17:00,180,V0414
11,MA,BH,MA->BH,200,1,07:00,11:00,240,V0065
12,MA,CI,MA->CI,200,1,07:00,10:00,180,V0059
13,MA,RJ,MA->RJ,200,1,08:00,13:00,300,V0107
14,MA,RJ,MA->RJ,200,1,10:00,15:00,300,V0201
15,MA,SP,MA->SP,200,1,07:00,12:00,300,V0049
16,MA,SP,MA->SP,200,1,10:00,15:00,300,V0199
17,MA,SP,MA->SP,200,1,15:00,20:00,300,V0424
18,MA,SP,MA->SP,200,1,06:00,11:00,300,V0014
19,MA,CR,MA->CR,200,1,14:00,19:00,300,V0399
20,MA,CR,MA->CR,100,1,10:00,15:00,300,V0209
21,MA,FL,MA->FL,200,1,08:00,14:00,360,V0118
22,MA,PA,MA->PA,200,1,14:00,20:00,360,V0417
23,MA,PA,MA->PA,100,1,15:00,21:00,360,V0426
24,BE,MA,BE->MA,200,1,19:00,21:00,120,V0558
25,BE,MA,BE->MA,200,1,20:00,22:00,120,V0576
26,BE,FO,BE->FO,200,1,12:00,14:00,120,V0307
27,BE,FO,BE->FO,200,1,14:00,16:00,120,V0418
28,BE,NA,BE->NA,200,1,12:00,14:00,120,V0291
29,BE,NA,BE->NA,100,1,18:00,20:00,120,V0550
30,BE,RE,BE->RE,200,1,07:00,09:00,120,V0038
31,BE,SA,BE->SA,200,1,13:00,16:00,180,V0361
32,BE,SA,BE->SA,100,1,07:00,10:00,180,V0041
33,BE,BR,BE->BR,200,1,08:00,11:00,180,V0120
34,BE,BR,BE->BR,200,1,12:00,15:00,180,V0309
35,BE,BR,BE->BR,100,1,14:00,17:00,180,V0423
36,BE,BH,BE->BH,200,1,09:00,13:00,240,V0164
37,BE,CI,BE->CI,100,1,19:00,22:00,180,V0566
38,BE,RJ,BE->RJ,200,1,07:00,11:00,240,V0052
39,BE,RJ,BE->RJ,200,1,08:00,12:00,240,V0135
40,BE,SP,BE->SP,200,1,10:00,14:00,240,V0225
41,BE,SP,BE->SP,200,1,11:00,15:00,240,V0262
42,BE,SP,BE->SP,200,1,13:00,17:00,240,V0363
43,BE,SP,BE->SP,200,1,15:00,19:00,240,V0452
44,BE,SP,BE->SP,100,1,16:00,20:00,240,V0496
45,BE,CR,BE->CR,200,1,15:00,20:00,300,V0454
46,BE,CR,BE->CR,100,1,16:00,21:00,300,V0493
47,BE,FL,BE->FL,200,1,08:00,13:00,300,V0092
48,BE,PA,BE->PA,200,1,08:00,14:00,360,V0119
49,FO,MA,FO->MA,200,1,19:00,22:00,180,V0567
50,FO,MA,FO->MA,100,1,16:00,19:00,180,V0490
51,FO,BE,FO->BE,200,1,14:00,16:00,120,V0409
52,FO,BE,FO->BE,150,1,20:00,22:00,120,V0570
53,FO,NA,FO->NA,200,1,11:00,12:00,60,V0249
54,FO,NA,FO->NA,200,1,15:00,16:00,60,V0427
55,FO,NA,FO->NA,100,1,16:00,17:00,60,V0489
56,FO,RE,FO->RE,200,1,07:00,08:00,60,V0084
57,FO,RE,FO->RE,200,1,09:00,10:00,60,V0156
58,FO,SA,FO->SA,200,1,09:00,11:00,120,V0171
59,FO,SA,FO->SA,200,1,10:00,12:00,120,V0212
60,FO,BR,FO->BR,200,1,12:00,15:00,180,V0298
61,FO,BR,FO->BR,200,1,15:00,18:00,180,V0466
62,FO,BR,FO->BR,200,1,19:00,22:00,180,V0563
63,FO,BH,FO->BH,200,1,17:00,20:00,180,V0524
64,FO,BH,FO->BH,100,1,19:00,22:00,180,V0561
65,FO,CI,FO->CI,200,1,14:00,18:00,240,V0390
66,FO,RJ,FO->RJ,200,1,10:00,14:00,240,V0195
67,FO,RJ,FO->RJ,200,1,11:00,15:00,240,V0280
68,FO,RJ,FO->RJ,100,1,12:00,16:00,240,V0287
69,FO,SP,FO->SP,200,1,11:00,15:00,240,V0278
70,FO,SP,FO->SP,200,1,12:00,16:00,240,V0288
71,FO,SP,FO->SP,200,1,13:00,17:00,240,V0341
72,FO,SP,FO->SP,200,1,16:00,20:00,240,V0482
73,FO,SP,FO->SP,100,1,17:00,21:00,240,V0523
74,FO,CR,FO->CR,200,1,07:00,12:00,300,V0089
75,FO,CR,FO->CR,100,1,09:00,14:00,300,V0180
76,FO,FL,FO->FL,200,1,15:00,20:00,300,V0445
77,FO,FL,FO->FL,100,1,16:00,21:00,300,V0475
78,FO,PA,FO->PA,200,1,06:00,12:00,360,V0023
79,FO,PA,FO->PA,200,1,07:00,13:00,360,V0087
80,NA,MA,NA->MA,200,1,13:00,16:00,180,V0357
81,NA,BE,NA->BE,200,1,06:00,08:00,120,V0024
82,NA,BE,NA->BE,100,1,12:00,14:00,120,V0304
83,NA,FO,NA->FO,200,1,07:00,08:00,60,V0085
84,NA,FO,NA->FO,200,1,08:00,09:00,60,V0126
85,NA,RE,NA->RE,200,1,08:00,09:00,60,V0134
86,NA,RE,NA->RE,100,1,12:00,13:00,60,V0312
87,NA,SA,NA->SA,200,1,07:00,09:00,120,V0077
88,NA,SA,NA->SA,200,1,11:00,13:00,120,V0248
89,NA,BR,NA->BR,200,1,09:00,12:00,180,V0148
90,NA,BR,NA->BR,200,1,11:00,14:00,180,V0245
91,NA,BH,NA->BH,200,1,06:00,09:00,180,V0025
92,NA,CI,NA->CI,200,1,15:00,19:00,240,V0457
93,NA,CI,NA->CI,100,1,16:00,20:00,240,V0468
94,NA,RJ,NA->RJ,200,1,15:00,19:00,240,V0460
95,NA,RJ,NA->RJ,200,1,18:00,22:00,240,V0549
96,NA,SP,NA->SP,200,1,06:00,10:00,240,V0026
97,NA,SP,NA->SP,200,1,07:00,11:00,240,V0072
98,NA,SP,NA->SP,200,1,08:00,12:00,240,V0122
99,NA,CR,NA->CR,200,1,10:00,15:00,300,V0222
100,NA,CR,NA->CR,100,2,10:00,16:00,360,V0223 | V0434
101,NA,FL,NA->FL,200,1,17:00,22:00,300,V0502
102,NA,FL,NA->FL,100,1,13:00,18:00,300,V0378
103,NA,PA,NA->PA,200,1,13:00,19:00,360,V0380
104,NA,PA,NA->PA,100,1,14:00,20:00,360,V0383
105,RE,MA,RE->MA,200,1,07:00,10:00,180,V0068
106,RE,MA,RE->MA,100,1,12:00,15:00,180,V0323
107,RE,BE,RE->BE,200,1,15:00,17:00,120,V0463
108,RE,BE,RE->BE,200,1,16:00,18:00,120,V0469
109,RE,FO,RE->FO,200,1,10:00,11:00,60,V0191
110,RE,FO,RE->FO,200,1,11:00,12:00,60,V0242
111,RE,FO,RE->FO,200,1,17:00,18:00,60,V0505
112,RE,NA,RE->NA,200,1,11:00,12:00,60,V0243
113,RE,NA,RE->NA,200,1,21:00,22:00,60,V0588
114,RE,SA,RE->SA,200,1,08:00,10:00,120,V0100
115,RE,SA,RE->SA,200,1,09:00,11:00,120,V0143
116,RE,SA,RE->SA,200,1,10:00,12:00,120,V0193
117,RE,BR,RE->BR,200,1,08:00,11:00,180,V0106
118,RE,BR,RE->BR,200,1,09:00,12:00,180,V0183
119,RE,BR,RE->BR,100,1,10:00,13:00,180,V0202
120,RE,BH,RE->BH,200,1,07:00,10:00,180,V0060
121,RE,BH,RE->BH,100,1,10:00,13:00,180,V0211
122,RE,CI,RE->CI,200,1,13:00,17:00,240,V0351
123,RE,CI,RE->CI,100,1,14:00,18:00,240,V0410
124,RE,RJ,RE->RJ,200,1,08:00,11:00,180,V0115
125,RE,RJ,RE->RJ,200,1,09:00,12:00,180,V0173
126,RE,RJ,RE->RJ,200,1,13:00,16:00,180,V0348
127,RE,RJ,RE->RJ,200,1,15:00,18:00,180,V0455
128,RE,SP,RE->SP,200,1,06:00,09:00,180,V0027
129,RE,SP,RE->SP,200,1,09:00,12:00,180,V0165
130,RE,SP,RE->SP,200,1,15:00,18:00,180,V0459
131,RE,SP,RE->SP,200,1,18:00,21:00,180,V0539
132,RE,CR,RE->CR,200,1,12:00,16:00,240,V0284
133,RE,CR,RE->CR,200,1,14:00,18:00,240,V0388
134,RE,FL,RE->FL,200,1,07:00,11:00,240,V0054
135,RE,FL,RE->FL,200,1,09:00,13:00,240,V0154
136,RE,PA,RE->PA,200,1,09:00,14:00,300,V0149
137,RE,PA,RE->PA,200,1,11:00,16:00,300,V0241
138,SA,MA,SA->MA,200,1,10:00,13:00,180,V0238
139,SA,BE,SA->BE,200,1,10:00,13:00,180,V0237
140,SA,FO,SA->FO,200,1,06:00,08:00,120,V0028
141,SA,FO,SA->FO,200,1,07:00,09:00,120,V0050
142,SA,FO,SA->FO,200,1,08:00,10:00,120,V0097
143,SA,FO,SA->FO,200,1,09:00,11:00,120,V0142
144,SA,NA,SA->NA,200,1,08:00,10:00,120,V0131
145,SA,NA,SA->NA,200,1,10:00,12:00,120,V0230
146,SA,NA,SA->NA,200,1,11:00,13:00,120,V0258
147,SA,RE,SA->RE,200,1,14:00,16:00,120,V0413
148,SA,RE,SA->RE,200,1,16:00,18:00,120,V0479
149,SA,RE,SA->RE,200,1,17:00,19:00,120,V0521
150,SA,BR,SA->BR,200,1,06:00,08:00,120,V0030
151,SA,BR,SA->BR,200,1,10:00,12:00,120,V0218
152,SA,BH,SA->BH,200,1,07:00,09:00,120,V0043
153,SA,BH,SA->BH,200,1,10:00,12:00,120,V0215
154,SA,CI,SA->CI,200,1,09:00,12:00,180,V0174
155,SA,CI,SA->CI,200,1,11:00,14:00,180,V0269
156,SA,RJ,SA->RJ,200,1,07:00,09:00,120,V0042
157,SA,RJ,SA->RJ,200,1,08:00,10:00,120,V0109
158,SA,RJ,SA->RJ,200,1,11:00,13:00,120,V0273
159,SA,RJ,SA->RJ,200,1,13:00,15:00,120,V0353
160,SA,SP,SA->SP,200,1,11:00,13:00,120,V0277
161,SA,SP,SA->SP,200,1,12:00,14:00,120,V0301
162,SA,SP,SA->SP,200,1,13:00,15:00,120,V0350
163,SA,SP,SA->SP,200,1,14:00,16:00,120,V0406
164,SA,SP,SA->SP,200,1,17:00,19:00,120,V0525
165,SA,SP,SA->SP,100,1,18:00,20:00,120,V0531
166,SA,CR,SA->CR,200,1,08:00,11:00,180,V0104
167,SA,CR,SA->CR,200,1,09:00,12:00,180,V0184
168,SA,CR,SA->CR,100,1,12:00,15:00,180,V0292
169,SA,FL,SA->FL,200,1,08:00,11:00,180,V0096
170,SA,FL,SA->FL,200,1,16:00,19:00,180,V0485
171,SA,FL,SA->FL,100,1,17:00,20:00,180,V0522
172,SA,PA,SA->PA,200,1,08:00,12:00,240,V0093
173,SA,PA,SA->PA,200,1,12:00,16:00,240,V0286
174,SA,PA,SA->PA,100,1,13:00,17:00,240,V0338
175,BR,MA,BR->MA,200,1,10:00,13:00,180,V0197
176,BR,MA,BR->MA,200,1,11:00,14:00,180,V0279
177,BR,MA,BR->MA,100,1,12:00,15:00,180,V0294
178,BR,BE,BR->BE,200,1,12:00,15:00,180,V0285
179,BR,BE,BR->BE,200,1,13:00,16:00,180,V0347
180,BR,BE,BR->BE,100,1,14:00,17:00,180,V0400
181,BR,FO,BR->FO,200,1,08:00,11:00,180,V0105
182,BR,FO,BR->FO,200,1,09:00,12:00,180,V0181
183,BR,FO,BR->FO,200,1,11:00,14:00,180,V0274
184,BR,FO,BR->FO,200,1,13:00,16:00,180,V0356
185,BR,FO,BR->FO,100,1,16:00,19:00,180,V0486
186,BR,NA,BR->NA,200,1,09:00,12:00,180,V0176
187,BR,NA,BR->NA,200,1,10:00,13:00,180,V0210
188,BR,NA,BR->NA,100,1,18:00,21:00,180,V0536
189,BR,RE,BR->RE,200,1,06:00,09:00,180,V0020
190,BR,RE,BR->RE,200,1,09:00,12:00,180,V0169
191,BR,RE,BR->RE,200,1,10:00,13:00,180,V0216
192,BR,RE,BR->RE,100,1,11:00,14:00,180,V0264
193,BR,SA,BR->SA,200,1,10:00,12:00,120,V0220
194,BR,SA,BR->SA,200,1,15:00,17:00,120,V0429
195,BR,SA,BR->SA,200,1,18:00,20:00,120,V0537
196,BR,SA,BR->SA,200,1,19:00,21:00,120,V0565
197,BR,SA,BR->SA,100,1,20:00,22:00,120,V0569
198,BR,BH,BR->BH,200,1,07:00,08:00,60,V0037
199,BR,BH,BR->BH,200,1,08:00,09:00,60,V0127
200,BR,BH,BR->BH,200,1,13:00,14:00,60,V0369
201,BR,BH,BR->BH,100,1,14:00,15:00,60,V0408
202,BR,CI,BR->CI,200,1,08:00,09:00,60,V0128
203,BR,CI,BR->CI,200,1,12:00,13:00,60,V0320
204,BR,CI,BR->CI,200,1,13:00,14:00,60,V0377
205,BR,CI,BR->CI,200,1,14:00,15:00,60,V0394
206,BR,RJ,BR->RJ,200,1,09:00,11:00,120,V0145
207,BR,RJ,BR->RJ,200,1,10:00,12:00,120,V0233
208,BR,RJ,BR->RJ,200,1,12:00,14:00,120,V0324
209,BR,RJ,BR->RJ,200,1,14:00,16:00,120,V0392
210,BR,RJ,BR->RJ,200,1,15:00,17:00,120,V0462
211,BR,RJ,BR->RJ,200,1,17:00,19:00,120,V0511
212,BR,RJ,BR->RJ,200,1,08:00,10:00,120,V0132
213,BR,SP,BR->SP,200,1,08:00,10:00,120,V0136
214,BR,SP,BR->SP,200,1,09:00,11:00,120,V0140
