flight_id,aircraft_id,orig_code,dest_code,dep_hhmm,arr_hhmm,dep_min,arr_min,pax,capacity,load_factor,duration_min,route_str
V0013,AC_026,BH,FL,06:00,08:00,360,480,200,200,1.0,120,BH->FL
V0016,AC_030,BH,RE,06:00,09:00,360,540,200,200,1.0,180,BH->RE
V0018,AC_032,BR,CR,06:00,09:00,360,540,200,200,1.0,180,BR->CR
V0020,AC_037,BR,RE,06:00,09:00,360,540,200,200,1.0,180,BR->RE
V0019,AC_034,CR,BE,06:00,11:00,360,660,200,200,1.0,300,CR->BE
V0029,AC_070,CR,SP,06:00,07:00,360,420,200,200,1.0,60,CR->SP
V0023,AC_046,FO,PA,06:00,12:00,360,720,200,200,1.0,360,FO->PA
V0005,AC_006,MA,NA,06:00,09:00,360,540,200,200,1.0,180,MA->NA
V0014,AC_027,MA,SP,06:00,11:00,360,660,200,200,1.0,300,MA->SP
V0024,AC_047,NA,BE,06:00,08:00,360,480,200,200,1.0,120,NA->BE
V0025,AC_054,NA,BH,06:00,09:00,360,540,200,200,1.0,180,NA->BH
V0026,AC_055,NA,SP,06:00,10:00,360,600,200,200,1.0,240,NA->SP
V0004,AC_005,PA,BE,06:00,12:00,360,720,50,200,0.25,360,PA->BE
V0002,AC_003,PA,CI,06:00,10:00,360,600,200,200,1.0,240,PA->CI
V0007,AC_009,PA,FL,06:00,07:00,360,420,200,200,1.0,60,PA->FL
V0017,AC_031,PA,RJ,06:00,09:00,360,540,100,200,0.5,180,PA->RJ
V0027,AC_064,RE,SP,06:00,09:00,360,540,200,200,1.0,180,RE->SP
V0008,AC_010,RJ,BH,06:00,07:00,360,420,200,200,1.0,60,RJ->BH
V0022,AC_042,RJ,CR,06:00,08:00,360,480,200,200,1.0,120,RJ->CR
V0001,AC_002,RJ,FL,06:00,08:00,360,480,200,200,1.0,120,RJ->FL
V0021,AC_041,RJ,PA,06:00,09:00,360,540,200,200,1.0,180,RJ->PA
V0009,AC_012,RJ,RE,06:00,09:00,360,540,200,200,1.0,180,RJ->RE
V0006,AC_007,RJ,SP,06:00,07:00,360,420,200,200,1.0,60,RJ->SP
V0030,AC_071,SA,BR,06:00,08:00,360,480,200,200,1.0,120,SA->BR
V0028,AC_068,SA,FO,06:00,08:00,360,480,200,200,1.0,120,SA->FO
V0011,AC_017,SP,BR,06:00,08:00,360,480,200,200,1.0,120,SP->BR
V0015,AC_029,SP,FL,06:00,07:00,360,420,200,200,1.0,60,SP->FL
V0003,AC_004,SP,MA,06:00,11:00,360,660,200,200,1.0,300,SP->MA
V0012,AC_025,SP,RJ,06:00,07:00,360,420,200,200,1.0,60,SP->RJ
V0010,AC_015,SP,SA,06:00,08:00,360,480,200,200,1.0,120,SP->SA
V0038,AC_086,BE,RE,07:00,09:00,420,540,200,200,1.0,120,BE->RE
V0052,AC_108,BE,RJ,07:00,11:00,420,660,200,200,1.0,240,BE->RJ
V0041,AC_090,BE,SA,07:00,10:00,420,600,100,200,0.5,180,BE->SA
V0040,AC_089,BH,BR,07:00,08:00,420,480,200,200,1.0,60,BH->BR
V0033,AC_079,BH,FO,07:00,10:00,420,600,200,200,1.0,180,BH->FO
V0053,AC_109,BH,PA,07:00,10:00,420,600,200,200,1.0,180,BH->PA
V0091,AC_158,BH,RE,07:00,10:00,420,600,200,200,1.0,180,BH->RE
V0044,AC_095,BH,RJ,07:00,08:00,420,480,200,200,1.0,60,BH->RJ
