,MA,BE,FO,NA,RE,SA,BR,BH,CI,RJ,SP,CR,FL,PA
MA,0,350,200,200,300,200,500,200,200,400,800,300,200,300
BE,400,0,400,300,200,300,500,200,100,400,900,300,200,200
FO,300,350,0,500,400,400,600,300,200,500,900,300,300,400
NA,200,300,400,0,300,400,400,200,300,400,600,300,300,300
RE,300,400,600,400,0,600,500,300,300,800,800,400,400,400
SA,200,200,800,600,600,0,400,400,400,800,1100,500,500,500
BR,500,500,900,500,700,900,0,700,800,1400,2500,600,600,800
BH,200,300,400,200,500,200,500,0,200,600,900,300,200,200
CI,200,200,300,200,200,200,300,200,0,200,400,100,100,200
RJ,600,700,900,600,1000,900,1600,900,900,0,3400,900,800,900
SP,800,900,1100,700,1400,1300,2500,100,800,2800,0,1500,1200,1100
CR,100,200,300,200,200,400,500,300,200,600,800,0,300,500
FL,100,150,200,500,300,200,600,400,200,600,600,500,0,300
PA,100,250,200,400,300,400,500,300,200,700,800,300,300,0
